Name,Address,postalCode,waitingTime
GUARDIAN HEALTH &amp; BEAUTY TOA PAYOH BLK 190," 190 Toa Payoh Lorong 6, #01-578 Singapore 310190",310190,71
GUARDIAN HEALTH &amp; BEAUTY WAREHOUSE RETAIL SCHEME," 21 Tampines North Drive 2, #01-01 Giant Building Singapore 528765",528765,104
GUARDIAN HEALTH &amp; BEAUTY WATERWAY POINT," 83 Punggol Central, #B1-04 Waterway Point Singapore 828761",828761,63
GUARDIAN HEALTH &amp; BEAUTY WEST MALL," 1 Bukit Batok Central Link, #01-27 West Mall Singapore 658713",658713,103
GUARDIAN HEALTH &amp; BEAUTY WHITE SANDS MALL," 1 Pasir Ris Central St 3, #01-12 White Sands Mall Singapore 518457",518457,118
INSTITUTE OF MENTAL HEALTH," 10 Buangkok View, Buangkok Green Medical Park, Pharmacy Singapore 539747",539747,15
KHOO TECK PUAT HOSPITAL," 90 Yishun Central, Dept of Pharmacy Singapore 768828",768828,85
NATIONAL ADDICTIONS MANAGEMENT SERVICE," 10 Buangkok View, Buangkok Green Medical Park, Clinic C Singapore 539747",539747,25
NATIONAL HEART CENTRE SINGAPORE," 5 Hospital Drive, Level 2 Pharmacy Singapore 169609",169609,33
NATIONAL SKIN CENTRE, 1 Mandalay Road Singapore 308205,308205,80
NATIONAL UNIVERSITY HOSPITAL," 5 Lower Kent Ridge Road, Dept of Pharmacy Singapore 119074",119074,73
NG TENG FONG GENERAL HOSPITAL, 1 Jurong East Street 21 Singapore 609606,609606,3
NHG PHARMACY  - HOUGANG, 89 Hougang Avenue 4 Singapore 538829,538829,100
NHG PHARMACY - ANG MO KIO, 21 Ang Mo Kio Central 2 Singapore 569666,569666,24
NHG PHARMACY - BUKIT BATOK, 50 Bukit Batok West Avenue 3 Singapore 659164,659164,90
NHG PHARMACY - CHOA CHU KANG, 2 Teck Whye Crescent Singapore 688846,688846,49
NHG PHARMACY - CLEMENTI," 451 Clementi Avenue 3, #02-307 Singapore 120451",120451,69
NHG PHARMACY - GEYLANG, 21 Geylang East Central Singapore 389707,389707,98
NHG PHARMACY - JURONG, 190 Jurong East Avenue 1 Singapore 609788,609788,39
NHG PHARMACY - PIONEER, 26 Jurong West St 61 Singapore 648201,648201,56
NHG PHARMACY - TOA PAYOH, 2003 Toa Payoh Lorong 8 Singapore 319260,319260,33
NHG PHARMACY - WOODLANDS, 10 Woodlands Street 31 Singapore 738579,738579,29
NHG PHARMACY- YISHUN, 2 Yishun Ave 9 Singapore 768898,768898,9
SINGAPORE HEART FOUNDATION," 9 Bishan Place, #07-01 Junction 8 Office Tower Singapore 579837",579837,31
SINGHEALTH POLYCLINIC - BEDOK," 11 Bedok North St 1, #02-01/03-01 Heartbeat @ Bedok Singapore 469662",469662,114
SINGHEALTH POLYCLINIC - BUKIT MERAH," 163 Bukit Merah Central, #04-3565 Singapore 150163",150163,20
SINGHEALTH POLYCLINIC - MARINE PARADE," 80 Marine Parade Central, #01-792 Singapore 440080",440080,89
SINGHEALTH POLYCLINIC - OUTRAM," 3 Second Hospital Avenue, Level 2, HPB Singapore 168937",168937,88
SINGHEALTH POLYCLINIC - PASIR RIS," 1 Pasir Ris Drive 4, #01-11 Singapore 519457",519457,3
SINGHEALTH POLYCLINIC - PUNGGOL," 681 Punggol Drive, Oasis Terraces #02-01 Singapore 820681",820681,70
SINGHEALTH POLYCLINIC - SENGKANG," 2 Sengkang Square, #01-06 Sengkang Community Hub Singapore 545025",545025,37
SINGHEALTH POLYCLINIC - TAMPINES, 1 Tampines Street 41 Singapore 529203,529203,33
TAN TOCK SENG HOSPITAL," 11 Jalan Tan Tock Seng, Clinic 4A Singapore 308433",308433,50
UNITY ANG MO KIO HUB, 53 Ang Mo Kio Ave 3 #B2-40 AMK Hub Singapore 569933,569933,81
UNITY BEDOK," 212 Bedok North Street 1, 02-147 (inside NTUC Fairprice) Singapore 460212",460212,83
UNITY BUKIT MERAH CENTRAL," 166 Bukit Merah Central, #01-3531 (inside NTUC Fairprice) Singapore 150166",150166,104
UNITY BUKIT PANJANG," 1 Jelebu Road, #01-06 Bukit Panjang Plaza Singapore 677743",677743,109
UNITY HARBOURFRONT CENTRE," 1 Maritime Square, #02-118/119 HarbourFront Centre Singapore 099253",099253,97
UNITY HOUGANG MALL," 90 Hougang Ave 10, #B1-35/36 Hougang Mall Singapore 538766",538766,76
UNITY HOUGANG POINT," 1 Hougang St 91, #02-01 Hougang One Singapore 538692",538692,67
UNITY JURONG POINT," 1 Jurong West Central 2, #B1-09 Jurong Point Singapore 648886",648886,78
UNITY LOT 1," 21 Choa Chu Kang Ave 4, #B1-04/05 Lot 1 Shopper's Mall Singapore 689812",689812,120
UNITY NEX MALL," 23 Serangoon Central, #03-37/38 NEX Singapore 556083",556083,110
UNITY PLAZA SINGAPURA," 68 Orchard Road, #B2-20A Plaza Singapura Singapore 238839",238839,48
UNITY RIVERVALE PLAZA," 118 Rivervale Drive, #01-16 Rivervale Plaza Singapore 540118",540118,29
UNITY TOA PAYOH MRT," 510 Toa Payoh Lorong 6,  #B1-02 Toa Payoh MRT Station Singapore 319398",319398,41
UNITY WATERWAY POINT," 83 Punggol Central, #B2-26 Waterway Point Singapore 828761",828761,29
UNITY WHITE SANDS SHOPPING CENTRE," 1 Pasir Ris Central St 3, #B1-02 White Sands Shopping Centre Singapore 518457",518457,119
UNITY YEW TEE POINT," 21 Choa Chu Kang North 6, #B1-08/09 Singapore 689578",689578,17
WATONS'S PHARMACY MARINA BAY FINANCIAL CENTRE," 8A Marina Boulevard, #B2-57-59 Marina Bay Financial Centre Singapore 018984",018984,62
WATSON'S PHARMACY BUKIT PANJANG PLAZA," 1 Jelebu Road West, #01-30/31 Singapore 677743",677743,66
WATSON'S PHARMACY CAUSEWAY POINT," 1 Woodlands Square, #B1-14/15 Causeway Point Singapore 738099",738099,63
WATSON'S PHARMACY CLEMENTI MALL," 3155 Commonwealth Avenue West, #B1-37-39 Clementi Mall Singapore 129588",129588,39
WATSON'S PHARMACY GREAT  WORLD CITY," 1 Kim Seng Promenade, #B1-118/119/120/121 Singapore 237994",237994,104
WATSON'S PHARMACY IMM," 2 Jurong East Street 21, #01 -54/55 IMM Building Singapore 609601",609601,51
WATSON'S PHARMACY ION," 2 Orchard Turn, #B4-12 ION Orchard Singapore 238801",238801,117
WATSON'S PHARMACY LUCKY PLAZA," 304 Orchard Road, #B1-27/41, 28/40, 29/39 &amp; 30 Lucky Plaza Singapore 238863",238863,98
WATSON'S PHARMACY MARINA SQUARE," 6 Raffles Boulevard, #02-212 Marina Square Singapore 039594",039594,39
WATSON'S PHARMACY NGEE ANN CITY," 391 Orchard Road, #B2-06-10 Ngee Ann City Singapore 238872",238872,96
WATSON'S PHARMACY NOVENA SQUARE," 238 Thomson Road, #02-07/09 Novena Square Singapore 307683",307683,41
WATSON'S PHARMACY NTUC HOUGANG MALL," 90 Hougang Avenue 10, #03-02 NTUC Hougang Mall Singapore 538766",538766,32
WATSON'S PHARMACY NTUC NORTHPOINT CITY," 1 Northpoint Drive, #B1-161-164 Northpoint City Singapore 768019",768019,62
WATSON'S PHARMACY NUH MEDICAL CENTRE," 1 Lower Kent Ridge Road, #01-33 Singapore 119082",119082,116
WATSON'S PHARMACY PARAGON," 290 Orchard Road, #B1-27/27A The Paragon Singapore 238859",238859,7
WATSON'S PHARMACY PARKWAY PARADE," 80 Marine Parade Road, #B1-14-16 Parkway Parade Singapore 449269",449269,103
WATSON'S PHARMACY RAFFLES CITY," 252 North Bridge Road, #B1-42 Raffles City Singapore 179103",179103,15
WATSON'S PHARMACY TAMPINES MALL," 4 Tampines Central 5, #B1-07/08 Tampines Mall Singapore 529510",529510,99
WATSON'S PHARMACY TIONG BAHRU PLAZA," 302 Tiong Bahru  Road, #01-131/132 Tiong Bahru Plaza Singapore 168732",168732,15
WATSON'S PHARMACY TOA PAYOH," 190 Toa Payoh Lorong 6, #01-150 Singapore 310190",310190,117
WATSON'S PHARMACY UNITED SQUARE," 101 Thomson Road, #B1-53 United Square Singapore 307591",307591,97
WATSON'S PHARMACY VIVO CITY," 1 HarbourFront Walk, #B2-15/16/17 Vivo City Singapore 098585",098585,46
